,Density Trees,Fine,On fire,Burned
324,0.3938,3889,47,2
325,0.3956,3911,43,2
326,0.3974,3931,42,1
327,0.3993,3950,43,0
328,0.4013,3970,39,4
329,0.4029,3989,40,0
330,0.4049,4007,42,0
331,0.4069,4027,41,1
332,0.4088,4045,43,0
333,0.4108,4064,44,0
334,0.4128,4081,47,0
335,0.4148,4102,44,2
336,0.4166,4119,47,0
337,0.4186,4138,47,1
338,0.4205,4155,47,3
339,0.4222,4173,48,1
340,0.4241,4188,53,0
341,0.4261,4206,53,2
342,0.4279,4223,56,0
343,0.4299,4237,61,1
344,0.4318,4256,62,0
345,0.4338,4271,66,1
346,0.4357,4289,67,1
347,0.4376,4301,75,0
348,0.4396,4315,80,1
349,0.4415,4326,89,0
350,0.4435,4343,91,1
351,0.4454,4360,94,0
352,0.4474,4376,98,0
353,0.4494,4394,98,2
354,0.4512,4412,99,1
355,0.4531,4430,101,0
356,0.4551,4444,107,0
357,0.4571,4459,110,2
358,0.4589,4474,114,1
359,0.4608,4492,115,1
360,0.4627,4506,121,0
361,0.4647,4525,121,1
362,0.4666,4539,125,2
363,0.4684,4556,126,2
364,0.4702,4568,134,0
365,0.4722,4583,137,2
366,0.474,4597,142,1
367,0.4759,4614,144,1
368,0.4778,4629,147,2
369,0.4796,4646,149,1
370,0.4815,4664,148,3
371,0.4832,4681,148,3
372,0.4849,4699,148,2
373,0.4867,4718,145,4
374,0.4883,4738,141,4
375,0.4899,4755,142,2
376,0.4917,4769,143,5
377,0.4932,4783,148,1
378,0.4951,4801,149,1
379,0.497,4819,151,0
380,0.499,4838,145,7
381,0.5003,4855,144,4
382,0.5019,4873,142,4
383,0.5035,4892,142,1
384,0.5054,4913,139,2
385,0.5072,4929,143,0
386,0.5092,4945,144,3
387,0.5109,4960,145,4
388,0.5125,4972,151,2
389,0.5143,4992,146,5
390,0.5158,5008,139,11
391,0.5167,5020,144,3
392,0.5184,5028,154,2
393,0.5202,5037,164,1
394,0.5221,5045,173,3
395,0.5238,5051,184,3
396,0.5255,5060,192,3
397,0.5272,5067,202,3
398,0.5289,5067,219,3
399,0.5306,5071,229,6
400,0.532,5075,242,3
401,0.5337,5077,258,2
402,0.5355,5075,278,2
403,0.5373,5079,291,3
404,0.539,5082,304,4
405,0.5406,5082,322,2
406,0.5424,5094,326,4
407,0.544,5100,338,2
408,0.5458,5109,346,3
409,0.5475,5115,356,4
410,0.5491,5121,363,7
411,0.5504,5128,373,3
412,0.5521,5126,391,4
413,0.5537,5128,403,6
414,0.5551,5127,418,6
415,0.5565,5119,440,6
416,0.5579,5120,457,2
417,0.5597,5118,472,7
418,0.561,5116,489,5
419,0.5625,5110,507,8
420,0.5637,5118,517,2
421,0.5655,5111,538,6
422,0.5669,5115,548,6
423,0.5683,5121,557,5
424,0.5698,5124,566,8
425,0.571,5115,585,10
426,0.572,5105,602,13
427,0.5727,5098,614,15
428,0.5732,5087,633,12
429,0.574,5074,658,8
430,0.5752,5059,685,8
431,0.5764,5050,706,8
432,0.5776,5045,718,13
433,0.5783,5032,736,15
434,0.5788,5017,763,8
435,0.58,4996,795,9
436,0.5811,4983,816,12
437,0.5819,4973,835,11
438,0.5828,4955,859,14
439,0.5834,4926,897,11
440,0.5843,4889,938,16
441,0.5847,4875,955,17
442,0.585,4848,988,14
443,0.5856,4818,1022,16
444,0.586,4771,1078,11
445,0.5869,4731,1116,22
446,0.5867,4705,1135,27
447,0.586,4672,1162,26
448,0.5854,4639,1197,18
449,0.5856,4600,1241,15
450,0.5861,4550,1305,6
451,0.5875,4495,1354,26
452,0.5869,4438,1415,16
453,0.5873,4382,1470,21
454,0.5872,4321,1527,24
455,0.5868,4289,1558,21
456,0.5867,4232,1609,26
457,0.5861,4197,1644,20
458,0.5861,4130,1716,15
459,0.5866,4076,1768,22
460,0.5864,4019,1829,16
461,0.5868,3957,1887,24
462,0.5864,3889,1953,22
463,0.5862,3827,2014,21
464,0.5861,3756,2085,20
465,0.5861,3690,2147,24
466,0.5857,3627,2199,31
467,0.5846,3541,2276,29
468,0.5837,3463,2342,32
469,0.5825,3403,2384,38
470,0.5807,3322,2463,22
471,0.5805,3233,2550,22
472,0.5803,3152,2625,26
473,0.5797,3081,2689,27
474,0.579,3033,2721,36
475,0.5774,2990,2737,47
476,0.5747,2945,2754,48
477,0.5719,2893,2781,45
478,0.5694,2827,2826,41
479,0.5673,2780,2854,39
480,0.5654,2722,2898,34
481,0.564,2663,2940,37
482,0.5623,2613,2969,41
483,0.5602,2552,3003,47
484,0.5575,2515,3010,50
485,0.5545,2457,3032,56
486,0.5509,2409,3048,52
487,0.5477,2356,3070,51
488,0.5446,2316,3080,50
489,0.5416,2285,3078,53
490,0.5383,2242,3093,48
491,0.5355,2197,3101,57
492,0.5318,2144,3118,56
493,0.5282,2083,3137,62
494,0.524,2028,3158,54
495,0.5206,1986,3167,53
496,0.5173,1918,3191,64
497,0.5129,1873,3192,64
498,0.5085,1837,3186,62
499,0.5043,1785,3204,54
500,0.5009,1740,3208,61
501,0.4968,1694,3206,68
502,0.492,1659,3177,84
503,0.4856,1585,3209,62
504,0.4814,1529,3220,65
505,0.4769,1472,3224,73
506,0.4716,1432,3219,65
507,0.4671,1383,3235,53
508,0.4638,1350,3240,48
509,0.461,1322,3239,49
510,0.4581,1287,3244,50
511,0.4551,1263,3230,58
512,0.4513,1243,3211,59
513,0.4474,1204,3221,49
514,0.4445,1173,3221,51
515,0.4414,1136,3217,61
516,0.4373,1131,3180,62
517,0.4331,1117,3144,70
518,0.4281,1095,3123,63
519,0.4238,1088,3088,62
520,0.4196,1088,3042,66
521,0.415,1086,2994,70
522,0.41,1088,2946,66
523,0.4054,1083,2919,52
524,0.4022,1072,2898,52
525,0.399,1053,2882,55
526,0.3955,1033,2868,54
527,0.3921,1019,2840,62
528,0.3879,991,2820,68
529,0.3831,981,2780,70
530,0.3781,967,2753,61
531,0.374,956,2728,56
532,0.3704,947,2704,53
533,0.3671,947,2679,45
534,0.3646,949,2634,63
535,0.3603,950,2618,35
536,0.3588,959,2582,47
537,0.3561,962,2542,57
538,0.3524,968,2499,57
539,0.3487,977,2459,51
540,0.3456,984,2411,61
541,0.3415,995,2369,51
542,0.3384,1002,2334,48
543,0.3356,1006,2298,52
544,0.3324,1015,2261,48
545,0.3296,1031,2224,41
546,0.3275,1039,2193,43
547,0.3252,1051,2147,54
548,0.3218,1065,2100,53
549,0.3185,1077,2056,52
550,0.3153,1087,2020,46
551,0.3127,1094,1984,49
552,0.3098,1104,1948,46
553,0.3072,1113,1910,49
554,0.3043,1118,1871,54
555,0.3009,1128,1843,38
556,0.2991,1139,1815,37
557,0.2974,1150,1778,46
558,0.2948,1162,1735,51
559,0.2917,1166,1704,47
560,0.289,1171,1681,38
561,0.2872,1178,1655,39
562,0.2853,1188,1622,43
563,0.283,1203,1585,42
564,0.2808,1207,1549,52
565,0.2776,1215,1517,44
566,0.2752,1230,1479,43
567,0.2729,1240,1451,38
568,0.2711,1251,1430,30
569,0.2701,1264,1412,25
570,0.2696,1273,1401,22
571,0.2694,1284,1379,31
572,0.2683,1291,1360,32
573,0.2671,1299,1338,34
574,0.2657,1316,1304,37
575,0.264,1331,1279,30
576,0.263,1346,1261,23
577,0.2627,1358,1238,31
578,0.2616,1366,1207,43
579,0.2593,1375,1190,28
580,0.2585,1385,1169,31
581,0.2574,1393,1154,27
582,0.2567,1403,1129,35
583,0.2552,1418,1110,24
584,0.2548,1426,1092,30
585,0.2538,1441,1064,33
586,0.2525,1455,1042,28
587,0.2517,1462,1023,32
588,0.2505,1471,1010,24
589,0.2501,1483,995,23
590,0.2498,1497,975,26
591,0.2492,1509,957,26
592,0.2486,1517,935,34
593,0.2472,1534,909,29
594,0.2463,1554,885,24
595,0.2459,1569,858,32
596,0.2447,1582,844,21
597,0.2446,1594,823,29
598,0.2437,1611,805,21
599,0.2436,1629,781,26
600,0.243,1644,762,24
601,0.2426,1660,747,19
602,0.2427,1678,715,34
603,0.2413,1693,675,45
604,0.2388,1704,660,24
605,0.2384,1721,643,20
606,0.2384,1733,620,31
607,0.2373,1747,605,21
608,0.2372,1757,598,17
609,0.2375,1772,579,24
610,0.2371,1787,558,26
611,0.2365,1801,542,22
612,0.2363,1817,528,18
613,0.2365,1834,504,27
614,0.2358,1849,488,21
615,0.2357,1862,480,15
616,0.2362,1877,468,17
617,0.2365,1895,460,10
618,0.2375,1906,454,15
619,0.238,1923,444,13
620,0.2387,1937,441,9
621,0.2398,1954,426,18
622,0.24,1974,414,12
623,0.2408,1985,403,20
624,0.2408,2002,395,11
625,0.2417,2016,385,16
626,0.2421,2037,371,13
627,0.2428,2050,363,15
628,0.2433,2071,346,16
629,0.2437,2091,330,16
630,0.2441,2111,314,16
631,0.2445,2129,306,10
632,0.2455,2143,303,9
633,0.2466,2160,297,9
634,0.2477,2178,288,11
635,0.2486,2195,285,6
636,0.25,2216,278,6
637,0.2514,2231,273,10
638,0.2524,2247,271,6
639,0.2538,2268,269,1
640,0.2557,2284,262,11
641,0.2566,2302,255,9
642,0.2577,2321,251,5
643,0.2592,2338,242,12
644,0.26,2356,240,4
645,0.2616,2370,240,6
646,0.263,2386,244,0
647,0.265,2402,244,4
648,0.2666,2416,244,6
649,0.268,2434,242,4
650,0.2696,2447,239,10
651,0.2706,2466,236,4
652,0.2722,2480,237,5
653,0.2737,2498,236,3
654,0.2754,2518,231,5
655,0.2769,2536,227,6
656,0.2783,2555,224,4
657,0.2799,2576,215,8
658,0.2811,2593,209,9
659,0.2822,2610,209,3
660,0.2839,2626,207,6
661,0.2853,2643,206,4
662,0.2869,2662,205,2
663,0.2887,2678,205,4
664,0.2903,2695,206,2
665,0.2921,2713,204,4
666,0.2937,2732,197,8
667,0.2949,2752,193,4
668,0.2965,2772,190,3
669,0.2982,2792,180,10
670,0.2992,2811,177,4
671,0.3008,2827,173,8
672,0.302,2845,169,6
673,0.3034,2863,169,2
674,0.3052,2881,165,6
675,0.3066,2894,165,7
676,0.3079,2911,164,4
677,0.3095,2928,163,4
678,0.3111,2946,164,1
679,0.313,2963,164,3
680,0.3147,2977,169,1
681,0.3166,2998,162,6
682,0.318,3014,161,5
683,0.3195,3028,162,5
684,0.321,3047,161,2
685,0.3228,3065,159,4
686,0.3244,3082,159,3
687,0.3261,3097,160,4
688,0.3277,3109,161,7
689,0.329,3124,164,2
690,0.3308,3139,165,4
691,0.3324,3154,168,2
692,0.3342,3172,168,2
693,0.336,3189,169,2
694,0.3378,3207,168,3
695,0.3395,3223,165,7
696,0.3408,3238,165,5
697,0.3423,3256,163,4
698,0.3439,3273,164,2
699,0.3457,3292,160,5
700,0.3472,3311,157,4
701,0.3488,3330,156,2
702,0.3506,3349,152,5
703,0.3521,3367,148,6
704,0.3535,3385,149,1
705,0.3554,3404,148,2
706,0.3572,3425,144,3
707,0.3589,3446,139,4
708,0.3605,3465,138,2
709,0.3623,3483,137,3
710,0.364,3504,132,4
711,0.3656,3522,129,5
712,0.3671,3542,124,5
713,0.3686,3562,118,6
714,0.37,3581,118,1
715,0.3719,3600,118,1
716,0.3738,3619,115,4
717,0.3754,3639,114,1
718,0.3773,3658,114,1
719,0.3792,3677,111,4
720,0.3808,3695,108,5
721,0.3823,3711,111,1
722,0.3842,3729,109,4
723,0.3858,3746,110,2
724,0.3876,3766,104,6
725,0.389,3783,105,2
726,0.3908,3799,107,2
727,0.3926,3817,104,5
728,0.3941,3833,107,1
729,0.396,3848,109,3
730,0.3977,3865,108,4
731,0.3993,3878,113,2
732,0.4011,3897,111,3
733,0.4028,3916,110,2
734,0.4046,3932,113,1
735,0.4065,3952,111,2
736,0.4083,3966,117,0
737,0.4103,3982,117,4
738,0.4119,4000,117,2
739,0.4137,4018,116,3
740,0.4154,4038,113,3
741,0.4171,4055,113,3
742,0.4188,4071,117,0
743,0.4208,4091,115,2
744,0.4226,4106,118,2
745,0.4244,4124,119,1
746,0.4263,4144,114,5
747,0.4278,4162,114,2
748,0.4296,4183,113,0
749,0.4316,4201,112,3
750,0.4333,4221,108,4
751,0.4349,4237,109,3
752,0.4366,4255,107,4
753,0.4382,4273,104,5
754,0.4397,4291,104,2
755,0.4415,4309,103,3
756,0.4432,4330,102,0
757,0.4452,4347,105,0
758,0.4472,4368,103,1
759,0.4491,4385,103,3
760,0.4508,4405,101,2
761,0.4526,4421,101,4
762,0.4542,4440,100,2
